ric,ticker,isin,exchange_name,coverage_role
04MF.TXEA,04MF,US75605Y1064,TRAX APA (Mon To Sun),native_equity
08DMM2^2,EMD,,CME:Index and Options Market,native_equity
0J2XL.BCU,0J2XL,US4103451021,BATS Europe,native_equity
0K4.SG,0K4,US00973Y1082,Stuttgart Stock Exchange,native_equity
0US7.L,0US7,US69946T2078,London Stock Exchange,native_equity
1V3F.TRE,1V3F,US22207T1016,London Stock Exchange,native_equity
23IF.TPRM,23IF,US46116X1019,TPICAP,native_equity
2BVF.TPRM,2BVF,US10921T1016,TPICAP,native_equity
2NJF.ICEM,2NJF,US22304C1009,TPICAP,native_equity
358F.TRE,358F,US05875B1061,London Stock Exchange,native_equity
36MMU.TPRM,36MMU,US82489T1043,TPICAP,native_equity
39LF.TPRM,39LF,US71639T1060,TPICAP,native_equity
3V8F.ICEM,3V8F,US86184W1062,TPICAP,native_equity
47YSG.TRE,47YSG,US9234511080,London Stock Exchange,native_equity
4KSH.TRE,4KSH,US92719V1008,London Stock Exchange,native_equity
4NOF.ICEM,4NOF,US64051T1007,TPICAP,native_equity
5TCF.TRE,5TCF,US89785L1070,London Stock Exchange,native_equity
6FEF.TPRM,6FEF,US83001A1025,TPICAP,native_equity
6M6F.ICEM,6M6F,US9490901041,TPICAP,native_equity
6PMBE.TRE,6PMBE,US69924R1086,London Stock Exchange,native_equity
A.N,A,US00846U1016,New York Stock Exchange,native_equity
AA.N,AA,US0138721065,New York Stock Exchange,native_equity
AACC.OQ,AACC,,,native_equity
AAI.N,AAI,,,native_equity
AAI.TH,AAI,,,native_equity
AAL.OQ,AAL,US02376R1023,Nasdaq Stock Exchange Global Select Market,native_equity
AAMI.N,AAMI,US10948W1036,New York Stock Exchange,native_equity
AAOI.OQ,AAOI,US03823U1025,NASDAQ Stock Exchange Global Market,native_equity
AAON.OQ,AAON,US0003602069,Nasdaq Stock Exchange Global Select Market,native_equity
AAP.N,AAP,US00751Y1064,New York Stock Exchange,native_equity
